sample_alias	experiment_name	subject_id	timepoint
PNPM__5493	ERR1136701	PNP_5493	0
PNPM__5491	ERR1136702	PNP_5491	0
PNPM__5491	ERR1137230	PNP_5491	0
PNPM__5489	ERR1136703	PNP_5489	0
PNPM__5492	ERR1136704	PNP_5492	0
PNPM__5488	ERR1136705	PNP_5488	0
PNPM__5494	ERR1136706	PNP_5494	0
PNPM__5500	ERR1136707	PNP_5500	0
PNPM__5502	ERR1136708	PNP_5502	0
PNPM__5504	ERR1136709	PNP_5504	0
PNPM__5501	ERR1136710	PNP_5501	0
PNPM__5505	ERR1136711	PNP_5505	0
PNPM__5505	ERR1137231	PNP_5505	0
PNPM__5499	ERR1136712	PNP_5499	0
PNPM__5526	ERR1136713	PNP_5526	0
PNPM__5530	ERR1136714	PNP_5530	0
PNPM__5528	ERR1136715	PNP_5528	0
PNPM__5525	ERR1136716	PNP_5525	0
PNPM__5543	ERR1136717	PNP_5543	0
PNPM__5546	ERR1136718	PNP_5546	0
PNPM__5542	ERR1136719	PNP_5542	0
PNPM__5544	ERR1136720	PNP_5544	0
PNPM__5556	ERR1136721	PNP_5556	0
PNPM__5555	ERR1136722	PNP_5555	0
PNPM__5552	ERR1136723	PNP_5552	0
PNPM__5547	ERR1136724	PNP_5547	0
PNPM__5553	ERR1136725	PNP_5553	0
PNPM__5566	ERR1136726	PNP_5566	0
PNPM__5568	ERR1136727	PNP_5568	0
PNPM__5568	ERR1137232	PNP_5568	0
PNPM__5568	ERR1137602	PNP_5568	0
PNPM__5567	ERR1136728	PNP_5567	0
PNPM__5567	ERR1137233	PNP_5567	0
PNPM__5564	ERR1136729	PNP_5564	0
PNPM__5570	ERR1136730	PNP_5570	0
PNPM__5565	ERR1136731	PNP_5565	0
PNPM__5579	ERR1136732	PNP_5579	0
PNPM__5573	ERR1136733	PNP_5573	0
PNPM__5572	ERR1136734	PNP_5572	0
PNPM__5576	ERR1136735	PNP_5576	0
PNPM__5578	ERR1136736	PNP_5578	0
PNPM__5578	ERR1137699	PNP_5578	0
PNPM__5595	ERR1136737	PNP_5595	0
PNPM__5594	ERR1136738	PNP_5594	0
PNPM__5603	ERR1136739	PNP_5603	0
PNPM__5597	ERR1136740	PNP_5597	0
PNPM__5599	ERR1136741	PNP_5599	0
PNPM__5614	ERR1136742	PNP_5614	0
PNPM__5612	ERR1136743	PNP_5612	0
PNPM__5611	ERR1136744	PNP_5611	0
PNPM__5618	ERR1136745	PNP_5618	0
PNPM__5616	ERR1136746	PNP_5616	0
PNPM__5613	ERR1136747	PNP_5613	0
PNPM__5617	ERR1136748	PNP_5617	0
PNPM__5621	ERR1136749	PNP_5621	0
PNPM__5620	ERR1136750	PNP_5620	0
PNPM__5625	ERR1136751	PNP_5625	0
PNPM__5625	ERR1137637	PNP_5625	0
PNPM__5624	ERR1136752	PNP_5624	0
PNPM__5623	ERR1136753	PNP_5623	0
PNPM__5623	ERR1137393	PNP_5623	0
PNPM__5623	ERR1137700	PNP_5623	0
PNPM__5631	ERR1136754	PNP_5631	0
PNPM__5634	ERR1136755	PNP_5634	0
PNPM__5635	ERR1136756	PNP_5635	0
PNPM__5637	ERR1136757	PNP_5637	0
PNPM__5632	ERR1136758	PNP_5632	0
PNPM__5657	ERR1136759	PNP_5657	0
PNPM__5633	ERR1136760	PNP_5633	0
PNPM__5653	ERR1136761	PNP_5653	0
PNPM__5651	ERR1136762	PNP_5651	0
PNPM__5649	ERR1136763	PNP_5649	0
PNPM__5649	ERR1137234	PNP_5649	0
PNPM__5649	ERR1137701	PNP_5649	0
PNPM__5650	ERR1136764	PNP_5650	0
PNPM__5652	ERR1136765	PNP_5652	0
PNPM__5654	ERR1136766	PNP_5654	0
PNPM__5662	ERR1136767	PNP_5662	0
PNPM__5665	ERR1136768	PNP_5665	0
PNPM__5669	ERR1136769	PNP_5669	0
PNPM__5663	ERR1136770	PNP_5663	0
PNPM__5675	ERR1136771	PNP_5675	0
PNPM__5672	ERR1136772	PNP_5672	0
PNPM__5671	ERR1136773	PNP_5671	0
PNPM__5674	ERR1136774	PNP_5674	0
PNPM__5673	ERR1136775	PNP_5673	0
PNPM__5676	ERR1136776	PNP_5676	0
PNPM__5676	ERR1137235	PNP_5676	0
PNPM__5677	ERR1136777	PNP_5677	0
PNPM__5664	ERR1136778	PNP_5664	0
PNPM__5679	ERR1136779	PNP_5679	0
PNPM__5678	ERR1136780	PNP_5678	0
PNPM__5688	ERR1136781	PNP_5688	0
PNPM__5693	ERR1136782	PNP_5693	0
PNPM__5692	ERR1136783	PNP_5692	0
PNPM__5691	ERR1136784	PNP_5691	0
PNPM__5689	ERR1136785	PNP_5689	0
PNPM__5729	ERR1136786	PNP_5729	0
PNPM__5728	ERR1136787	PNP_5728	0
PNPM__5690	ERR1136788	PNP_5690	0
PNPM__5733	ERR1136789	PNP_5733	0
PNPM__5742	ERR1136790	PNP_5742	0
PNPM__5732	ERR1136791	PNP_5732	0
PNPM__5731	ERR1136792	PNP_5731	0
PNPM__5737	ERR1136793	PNP_5737	0
PNPM__5744	ERR1136794	PNP_5744	0
PNPM__5735	ERR1136795	PNP_5735	0
PNPM__5736	ERR1136796	PNP_5736	0
PNPM__5749	ERR1136797	PNP_5749	0
PNPM__5752	ERR1136798	PNP_5752	0
PNPM__5754	ERR1136799	PNP_5754	0
PNPM__5750	ERR1136800	PNP_5750	0
PNPM__5755	ERR1136801	PNP_5755	0
PNPM__5751	ERR1136802	PNP_5751	0
PNPM__5776	ERR1136803	PNP_5776	0
PNPM__5766	ERR1137702	PNP_5766	0
PNPM__5571	ERR1136804	PNP_5571	0
PNPM__5772	ERR1136805	PNP_5772	0
PNPM__5779	ERR1136806	PNP_5779	0
PNPM__5779	ERR1136919	PNP_5779	0
PNPM__5802	ERR1136807	PNP_5802	0
PNPM__5780	ERR1136808	PNP_5780	0
PNPM__5780	ERR1136920	PNP_5780	0
PNPM__5780	ERR1137703	PNP_5780	0
PNPM__5778	ERR1136809	PNP_5778	0
PNPM__5782	ERR1136810	PNP_5782	0
PNPM__5783	ERR1136811	PNP_5783	0
PNPM__5804	ERR1136812	PNP_5804	0
PNPM__5809	ERR1136813	PNP_5809	0
PNPM__5807	ERR1136814	PNP_5807	0
PNPM__5807	ERR1137394	PNP_5807	0
PNPM__5803	ERR1136815	PNP_5803	0
PNPM__5808	ERR1136816	PNP_5808	0
PNPM__5806	ERR1136817	PNP_5806	0
PNPM__5806	ERR1136921	PNP_5806	0
PNPM__5793	ERR1136818	PNP_5793	0
PNPM__5821	ERR1136819	PNP_5821	0
PNPM__5805	ERR1136820	PNP_5805	0
PNPM__5825	ERR1136821	PNP_5825	0
PNPM__5825	ERR1137326	PNP_5825	0
PNPM__5839	ERR1136822	PNP_5839	0
PNPM__5838	ERR1136823	PNP_5838	0
PNPM__5836	ERR1136824	PNP_5836	0
PNPM__5822	ERR1136825	PNP_5822	0
PNPM__5856	ERR1136826	PNP_5856	0
PNPM__5852	ERR1136827	PNP_5852	0
PNPM__5852	ERR1137395	PNP_5852	0
PNPM__5850	ERR1136828	PNP_5850	0
PNPM__5850	ERR1137367	PNP_5850	0
PNPM__5850	ERR1137666	PNP_5850	0
PNPM__5850	ERR1137704	PNP_5850	0
PNPM__5835	ERR1136829	PNP_5835	0
PNPM__5855	ERR1136830	PNP_5855	0
PNPM__5853	ERR1136831	PNP_5853	0
PNPM__5861	ERR1136832	PNP_5861	0
PNPM__5857	ERR1136833	PNP_5857	0
PNPM__5859	ERR1136834	PNP_5859	0
PNPM__5859	ERR1137396	PNP_5859	0
PNPM__5859	ERR1137570	PNP_5859	0
PNPM__5859	ERR1137705	PNP_5859	0
PNPM__5854	ERR1136835	PNP_5854	0
PNPM__5858	ERR1136836	PNP_5858	0
PNPM__5858	ERR1137368	PNP_5858	0
PNPM__5858	ERR1137571	PNP_5858	0
PNPM__5858	ERR1137706	PNP_5858	0
PNPM__5851	ERR1136837	PNP_5851	0
PNPM__5875	ERR1136838	PNP_5875	0
PNPM__5872	ERR1136839	PNP_5872	0
PNPM__5870	ERR1136840	PNP_5870	0
PNPM__5869	ERR1136841	PNP_5869	0
PNPM__5871	ERR1136842	PNP_5871	0
PNPM__5874	ERR1136843	PNP_5874	0
PNPM__5874	ERR1137327	PNP_5874	0
PNPM__5868	ERR1136844	PNP_5868	0
PNPM__5860	ERR1136845	PNP_5860	0
PNPM__5445	ERR1136846	PNP_5445	0
PNPM__5446	ERR1136847	PNP_5446	0
PNPM__5450	ERR1136848	PNP_5450	0
PNPM__5451	ERR1136849	PNP_5451	0
PNPM__5453	ERR1136850	PNP_5453	0
PNPM__5457	ERR1136851	PNP_5457	0
PNPM__5454	ERR1136852	PNP_5454	0
PNPM__5459	ERR1136853	PNP_5459	0
PNPM__5456	ERR1136854	PNP_5456	0
PNPM__5455	ERR1136855	PNP_5455	0
