plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	18	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.03
P1	WCA	18	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.04
P1	WCA	18	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	18	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.058
P1	WCA	18	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.023
P1	WCA	18	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.226
P1	WCA	18	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.182
P1	WCA	18	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.185
P1	WCA	18	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.135
P1	WCA	18	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.17
P1	WCA	18	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.159
P1	WCA	19	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.029
P1	WCA	19	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.041
P1	WCA	19	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.054
P1	WCA	19	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.013
P1	WCA	19	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.056
P1	WCA	19	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.029
P1	WCA	19	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.187
P1	WCA	19	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.182
P1	WCA	19	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.207
P1	WCA	19	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.138
P1	WCA	19	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.198
P1	WCA	19	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.168
P1	WCA	20	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.044
P1	WCA	20	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.063
P1	WCA	20	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.086
P1	WCA	20	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.027
P1	WCA	20	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.082
P1	WCA	20	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.055
P1	WCA	20	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.271
P1	WCA	20	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.198
P1	WCA	20	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.19
P1	WCA	20	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.145
P1	WCA	20	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.162
P1	WCA	20	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.185
P1	WCA	21	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.075
P1	WCA	21	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.102
P1	WCA	21	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.083
P1	WCA	21	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.046
P1	WCA	21	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.048
P1	WCA	21	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.092
P1	WCA	21	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	21	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.222
P1	WCA	21	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.086
P1	WCA	21	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.163
P1	WCA	21	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.153
P1	WCA	21	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.218
P1	WCA	22	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.086
P1	WCA	22	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.162
P1	WCA	22	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.096
P1	WCA	22	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.071
P1	WCA	22	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.079
P1	WCA	22	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.154
P1	WCA	22	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.16
P1	WCA	22	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.262
P1	WCA	22	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.102
P1	WCA	22	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.192
P1	WCA	22	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.276
P1	WCA	22	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.258
P1	WCA	23	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.072
P1	WCA	23	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.24
P1	WCA	23	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.117
