sampleID	genus	relAb	Income status
DRR171509	g__Bacteroides	0.0502099370188943	HIS
DRR171513	g__Bacteroides	0.2970082157804991	HIS
DRR171514	g__Bacteroides	0.2859598853868195	HIS
DRR171515	g__Bacteroides	0.2314338413746238	HIS
DRR171517	g__Bacteroides	0.19118679775280895	HIS
DRR171518	g__Bacteroides	0.5136101182293098	HIS
DRR171523	g__Bacteroides	0.17804654011022655	HIS
DRR171525	g__Bacteroides	0.3696642483549856	HIS
DRR171527	g__Bacteroides	0.19898510041027853	HIS
DRR171530	g__Bacteroides	0.554735013032146	HIS
DRR171538	g__Bacteroides	0.07606245303498368	HIS
DRR171539	g__Bacteroides	0.15230855855855854	HIS
DRR171543	g__Bacteroides	0.1352836879432624	HIS
DRR171545	g__Bacteroides	0.08215519949732952	HIS
DRR171546	g__Bacteroides	0.39522821576763484	HIS
DRR171552	g__Bacteroides	0.3384438881935753	HIS
DRR171555	g__Bacteroides	0.3549358470803875	HIS
DRR171560	g__Bacteroides	0.4650602409638554	HIS
DRR171563	g__Bacteroides	0.3110963455149502	HIS
DRR171567	g__Bacteroides	0.20827403943891032	HIS
DRR171568	g__Bacteroides	0.10672645739910308	HIS
DRR171569	g__Bacteroides	0.20186806771745475	HIS
DRR171571	g__Bacteroides	0.41213672639662696	HIS
DRR171572	g__Bacteroides	0.21149778888675252	HIS
DRR171576	g__Bacteroides	0	HIS
DRR171578	g__Bacteroides	0.4995619158878504	HIS
DRR171580	g__Bacteroides	0.01933820369574557	HIS
DRR171581	g__Bacteroides	0.453209520375045	HIS
DRR171585	g__Bacteroides	0.10788960133816555	HIS
DRR171586	g__Bacteroides	0.07316586921850078	HIS
DRR171587	g__Bacteroides	0.1617773202950763	HIS
DRR171588	g__Bacteroides	0.06924004825090466	HIS
DRR171589	g__Bacteroides	0.3469141755062681	HIS
DRR171591	g__Bacteroides	0.2511750881316098	HIS
DRR171592	g__Bacteroides	0.6039215686274509	HIS
DRR171594	g__Bacteroides	0.12491420727522301	HIS
DRR171598	g__Bacteroides	0.19139194139194135	HIS
DRR171599	g__Bacteroides	0.46602632515119174	HIS
DRR171601	g__Bacteroides	0.36207958605396084	HIS
DRR171604	g__Bacteroides	0.16698939603503915	HIS
DRR171605	g__Bacteroides	0.28777436114940086	HIS
DRR171606	g__Bacteroides	0.23107290113167822	HIS
DRR171607	g__Bacteroides	0.3513088417031794	HIS
DRR171608	g__Bacteroides	0.04386317907444665	HIS
DRR171610	g__Bacteroides	0.08439591405424439	HIS
DRR171613	g__Bacteroides	0.10725954259303527	HIS
DRR171616	g__Bacteroides	0.1593665430490127	HIS
DRR171617	g__Bacteroides	0.035630014157621494	HIS
DRR171619	g__Bacteroides	0.266062528318985	HIS
DRR171620	g__Bacteroides	0.40681399631675874	HIS
DRR171621	g__Bacteroides	0.10415299521889937	HIS
DRR171623	g__Bacteroides	0.1611281764870148	HIS
DRR171624	g__Bacteroides	0.458941824275796	HIS
DRR171625	g__Bacteroides	0.27850217318622533	HIS
DRR171626	g__Bacteroides	0.07478797224363916	HIS
DRR171628	g__Bacteroides	0.3873685837971552	HIS
DRR171629	g__Bacteroides	0.540034188034188	HIS
DRR171631	g__Bacteroides	0.008986564640982289	HIS
DRR171637	g__Bacteroides	0.5516478655164786	HIS
DRR171639	g__Bacteroides	0.3927867004790081	HIS
DRR171640	g__Bacteroides	0.04605519933091716	HIS
DRR171641	g__Bacteroides	0.499079673941625	HIS
DRR171642	g__Bacteroides	0.23673548138143927	HIS
DRR171643	g__Bacteroides	0.31188784328788166	HIS
DRR171644	g__Bacteroides	0.330835734870317	HIS
DRR171645	g__Bacteroides	0.03989742816200313	HIS
DRR171646	g__Bacteroides	0.5253604531410916	HIS
DRR171647	g__Bacteroides	0.4884875846501129	HIS
DRR171648	g__Bacteroides	0.1411216660577274	HIS
DRR171650	g__Bacteroides	0.24960629921259836	HIS
DRR171651	g__Bacteroides	0.03787878787878785	HIS
DRR171652	g__Bacteroides	0.24683431425004454	HIS
DRR171653	g__Bacteroides	0.1797935385203594	HIS
DRR171654	g__Bacteroides	0.2894601542416452	HIS
DRR171655	g__Bacteroides	0.3048327137546468	HIS
DRR171656	g__Bacteroides	0.019184389388292016	HIS
DRR171657	g__Bacteroides	0.023530664395229953	HIS
DRR171659	g__Bacteroides	0.2850022251891411	HIS
DRR171662	g__Bacteroides	0.38425925925925924	HIS
DRR171663	g__Bacteroides	0.5032803615687418	HIS
DRR171673	g__Bacteroides	0.19734495740043587	HIS
DRR171676	g__Bacteroides	0.08575722747767657	HIS
DRR171686	g__Bacteroides	0.14694131226138682	HIS
DRR171689	g__Bacteroides	0.26253259924659517	HIS
DRR171691	g__Bacteroides	0.3782094432156938	HIS
DRR171694	g__Bacteroides	0.1838435771597725	HIS
DRR171698	g__Bacteroides	0.04767589345668877	HIS
DRR171700	g__Bacteroides	0.40425798371947397	HIS
DRR171705	g__Bacteroides	0.2791199309749784	HIS
DRR171710	g__Bacteroides	0	HIS
DRR171711	g__Bacteroides	0.10898409804517367	HIS
DRR171712	g__Bacteroides	0.07411241072352755	HIS
DRR171713	g__Bacteroides	0.259792252759143	HIS
DRR171714	g__Bacteroides	0.6298636037329505	HIS
DRR171715	g__Bacteroides	0.25471877979027646	HIS
DRR171716	g__Bacteroides	0.3274504824784154	HIS
DRR171717	g__Bacteroides	0.32843829426715615	HIS
DRR171718	g__Bacteroides	0	HIS
DRR171719	g__Bacteroides	0.35359116022099446	HIS
DRR171720	g__Bacteroides	0.3265529841656516	HIS
DRR171721	g__Bacteroides	0.05081300813008127	HIS
DRR171722	g__Bacteroides	0.05989556670420804	HIS
DRR171723	g__Bacteroides	0.30658464979728783	HIS
DRR171724	g__Bacteroides	0.5145483401666446	HIS
DRR171725	g__Bacteroides	0.14932508436445444	HIS
DRR171726	g__Bacteroides	0.35677187375149816	HIS
DRR171727	g__Bacteroides	0.06390753169276656	HIS
DRR171733	g__Bacteroides	0.5061624435428308	HIS
DRR171737	g__Bacteroides	0.36860491322965966	HIS
DRR171741	g__Bacteroides	0.22621365742295035	HIS
DRR171745	g__Bacteroides	0.2800802139037433	HIS
DRR171747	g__Bacteroides	0.06623505976095614	HIS
DRR171755	g__Bacteroides	0.3049833887043189	HIS
DRR171762	g__Bacteroides	0.014581855442579	HIS
DRR171763	g__Bacteroides	0.13196919186113343	HIS
DRR171765	g__Bacteroides	0.18533351746996268	HIS
DRR171770	g__Bacteroides	0.41826003824091773	HIS
DRR171771	g__Bacteroides	0.1979148566463944	HIS
DRR171772	g__Bacteroides	0.37582717010509925	HIS
DRR171773	g__Bacteroides	0.12097636876397937	HIS
DRR171777	g__Bacteroides	0.2556802813091696	HIS
DRR171779	g__Bacteroides	0.2206474472539861	HIS
DRR171782	g__Bacteroides	0.2557788470610435	HIS
DRR171783	g__Bacteroides	0.43649165983046206	HIS
DRR171786	g__Bacteroides	0.237360431564421	HIS
DRR171791	g__Bacteroides	0.18543235770807512	HIS
DRR171793	g__Bacteroides	0.4620660694288914	HIS
DRR171796	g__Bacteroides	0.08908252178370063	HIS
DRR171798	g__Bacteroides	0.6564335796854274	HIS
DRR171801	g__Bacteroides	0.07507861635220123	HIS
DRR171802	g__Bacteroides	0.26358776358776353	HIS
DRR171807	g__Bacteroides	0.526595072646873	HIS
DRR171810	g__Bacteroides	0.20121703853955372	HIS
DRR171812	g__Bacteroides	0.2470075160063097	HIS
DRR171813	g__Bacteroides	0.1779154439734811	HIS
DRR171816	g__Bacteroides	0.5175919948353777	HIS
DRR171817	g__Bacteroides	0.23777705345501954	HIS
DRR171821	g__Bacteroides	0.3935699772917413	HIS
DRR171825	g__Bacteroides	0.38142343268242546	HIS
DRR171829	g__Bacteroides	0.2539860997547016	HIS
DRR171833	g__Bacteroides	0.16446865443425074	HIS
DRR171834	g__Bacteroides	0.08748271092669431	HIS
DRR171838	g__Bacteroides	0.4979411316150678	HIS
DRR171840	g__Bacteroides	0.40053573946144083	HIS
DRR171842	g__Bacteroides	0.5149554213402358	HIS
DRR171843	g__Bacteroides	0.07116412998765938	HIS
DRR171845	g__Bacteroides	0.010443864229765005	HIS
DRR171849	g__Bacteroides	0	HIS
DRR171850	g__Bacteroides	0.37646484374999994	HIS
DRR171852	g__Bacteroides	0.5200892857142857	HIS
DRR171855	g__Bacteroides	0.025925479319908316	HIS
DRR171856	g__Bacteroides	0.5023126734505088	HIS
DRR171862	g__Bacteroides	0.0813596094738745	HIS
DRR171863	g__Bacteroides	0.6088200238379023	HIS
DRR171864	g__Bacteroides	0.022857142857142826	HIS
DRR171865	g__Bacteroides	0.36623943277883825	HIS
DRR171870	g__Bacteroides	0.33307117577664175	HIS
DRR171872	g__Bacteroides	0.027999138488046468	HIS
DRR171876	g__Bacteroides	0.08499841420869009	HIS
DRR171886	g__Bacteroides	0.19342507645259935	HIS
DRR171890	g__Bacteroides	0.30164081816138455	HIS
DRR171897	g__Bacteroides	0.0741446552029782	HIS
DRR171899	g__Bacteroides	0.29428315641386366	HIS
DRR171902	g__Bacteroides	0.17385943279901353	HIS
DRR171915	g__Bacteroides	0.11204455352086082	HIS
DRR171917	g__Bacteroides	0.30122621564482027	HIS
DRR171919	g__Bacteroides	0.09397698066823106	HIS
DRR171921	g__Bacteroides	0.13848090642047836	HIS
DRR171922	g__Bacteroides	0.36990141991498593	HIS
DRR171923	g__Bacteroides	0.1759560807667256	HIS
DRR171925	g__Bacteroides	0.2771739130434782	HIS
DRR171928	g__Bacteroides	0.5802723895996699	HIS
DRR171930	g__Bacteroides	0.10123706134814435	HIS
DRR171931	g__Bacteroides	0.3664071401443221	HIS
DRR171933	g__Bacteroides	0.135929665499004	HIS
DRR171934	g__Bacteroides	0.04506811430912625	HIS
DRR171935	g__Bacteroides	0.21185383244206774	HIS
DRR171936	g__Bacteroides	0.4073149236192714	HIS
DRR171938	g__Bacteroides	0.03942193359553641	HIS
DRR171939	g__Bacteroides	0.5217063042657606	HIS
DRR171941	g__Bacteroides	0.18950777202072536	HIS
DRR171942	g__Bacteroides	0.02651652742462765	HIS
DRR171943	g__Bacteroides	0.4180458624127617	HIS
DRR171948	g__Bacteroides	0.2772487844408428	HIS
DRR171950	g__Bacteroides	0.3788813886210221	HIS
DRR171951	g__Bacteroides	0.5282712305025996	HIS
DRR171952	g__Bacteroides	0.1713171317131713	HIS
DRR171953	g__Bacteroides	0.02206593973804761	HIS
DRR171954	g__Bacteroides	0.12392677790377446	HIS
DRR171957	g__Bacteroides	0.08095567183334978	HIS
DRR171959	g__Bacteroides	0.24025745018515252	HIS
DRR171964	g__Bacteroides	0.42519761881526297	HIS
DRR171965	g__Bacteroides	0.28084298118668594	HIS
DRR173016	g__Bacteroides	0.4960343688037012	HIS
DRR173017	g__Bacteroides	0.24021418020679466	HIS
ERR2619707	g__Bacteroides	0.035602392480774694	LMIS
ERR2619708	g__Bacteroides	0.011774177317097704	LMIS
ERR2619709	g__Bacteroides	0.008676962267154899	LMIS
ERR2619710	g__Bacteroides	0.007819287576020838	LMIS
ERR2619711	g__Bacteroides	0.025217267417010965	LMIS
ERR2619712	g__Bacteroides	0.00529986052998604	LMIS
ERR2619713	g__Bacteroides	0	LMIS
ERR2619714	g__Bacteroides	0.039035797805360664	LMIS
