mOTU_ID	Family	Genus	Species	cazy_family	prevalence
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH20	0.18
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH27	0.12
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH29	0.18
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH31	0.3
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH33	0.2
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH35	0.16
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH36	0.24
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH42	0.16
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH84	0.08
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH85	0.02
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH89	0.02
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH92	0.04
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH95	0.1
01070	76892 Caulobacteraceae	41275 Brevundimonas	293 Brevundimonas diminuta [Brevundimonas sp. ZS04/Brevundimonas diminuta]	GH97	0.06
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	CBM32	0.96
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	CBM51	0
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH109	1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH110	0.02
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH112	0
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH123	0
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH130	0.74
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH136	0.38
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH16	0.1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH18	0.04
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH2	1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH20	1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH27	0.02
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH29	1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH31	0.96
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH33	0.94
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH35	0.96
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH36	0.44
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH42	0.02
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH84	0
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH85	0
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH89	0.02
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH92	0.98
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH95	1
01577	815 Bacteroidaceae	816 Bacteroides	28111 Bacteroides eggerthii	GH97	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	CBM32	0.9375
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	CBM51	0.625
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH109	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH110	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH112	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH123	0.15625
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH130	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH136	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH16	0.40625
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH18	0.09375
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH2	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH20	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH27	0.71875
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH29	0.9375
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH31	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH33	0.65625
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH35	0.875
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH36	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH42	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH84	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH85	0
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH89	0.4375
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH92	0.125
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH95	1
01578	815 Bacteroidaceae	816 Bacteroides	626929 Bacteroides clarus	GH97	1
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	CBM32	0.32
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	CBM51	0.02
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH109	0.98
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH110	0.08
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH112	0.02
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH123	0.06
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH130	0.98
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH136	0
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH16	0.92
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH18	0.92
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH2	1
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH20	1
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH27	0.02
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH29	1
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH31	0.74
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH33	0.14
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH35	0.26
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH36	0.16
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH42	0
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH84	0.02
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH85	0
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH89	0.42
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH92	1
01579	815 Bacteroidaceae	816 Bacteroides	46506 Bacteroides stercoris	GH95	1
